id,typ,id_name
ai,1,ALL IMPACT Management
kr,1,Krueger_Rizzi Management
mg,1,MOONGENCY
vs,1,fourfour Studio
fy,1,fyndafit
ro,1,ReachOn
ra,1,Rocks Agency
stu,1,StudioSEVENONE
lf,1,lookfamed
smo,1,Social Media One
mn,2,More Nutrition
en,2,ESN
fn,2,fayn
ko,2,KoRo Handels GmbH
fs,2,foodspring
hllf,2,Hello Fresh
np,2,Naturally Pam
whly,2,Wholey
mc,2,McDonalds
kflnd,2,Kaufland
lptn,2,Lipton
cc,2,Coca Cola
rs,2,Rittersport
fnt,2,Fanta 
ph,2,Pizza Hut
pps,2,Pepsi
dd,2,Dunkin Donuts
dp,2,Dominos Pizza
ly,1,likeyaa
ml,3,MinimaLara
mr,3,Maxine Reuker
jbl,3,julesboringlife
pd,3,paula_doeringer
mm,3,mariomller
fg,3,fitgreenmind
sw,3,Sturmwaffel
prf,3,pamela_rf
bz,3,biancazapatka
sllw,3,sallyswelt
sdu,3,simondesue
hf,3,helenefischer
jk,3,kloppo
bk,3,billkaulitz
knss,3,knossi
sd,3,shirindavid
tft,3,twentyFOURtim
dl,3,dielochis
at,3,aarontroschke
sl,3,slavik_maFOUR
bb,3,Ben Bernschneider
mes,3,max echtso
vus,3,viktoriasarina
jbx,3,juliabeautx
ls,3,lottastichler
jb,3,julienbam
iaz,3,Iamzuckerpuppe
az,3,azure agency
alb,3,alberto
fly,3,flyinguwe
neo,2,neosupps
yhml,3,yilmazhummel
leo,3,getfitbyleo
so,3,sophiathiel
ag,2,AGONE
mal,3,malika_babel
mar,3,marceggers
niri,3,niko_rittenau
leoko,3,leonie kommoss
evo,2,EVO SPORTS FUEL GmbH
gymky,2,PRO Fitness Motivation GmbH
sahu,3,sascha_huber_official
pplsq,2,PeoplesSquare GmbH
pa,3,paulinawallner
lejo,3,lenaajoy
fbl,3,fitbyeni 
bs,3,bro_sep
rn,2,Rocka Nutrition
rli,3,ramon_limacher
flo,3,floriansimunovic
hey,2,Holy Energy
mb,2,Monster Beverage
tim,3,timrbtz
cw,3,christianwolf
rp,3,rominapalm
jnr,3,Just Nero
klg,3,Klengan
bfl,3,bienesfitlife
dw,3,domi west
kyz,3,Kyzer
rhp,3,Ruhepuls
hsf,3,herstoryfeed
oti,1,onlinetitans
lea,3,lea_tntw
ohey,1,OHEY Artist Management
luf,3,lucyfischer
aeo,3,antoniaelena_official
jax,3,jax vita
ayl,3,aylinaphrodite
edd,3,edda elisa
otu,1,One True Agency 
ldu,3,linadueren
han,3,hannaahcarolina
len,3,lenaajoy
lui,3,luisa tabbert
marn,3,marenmorereal
lou,3,louispannhorst
vx,3,vxtez
xc,3,xculex
lex,3,lexikar
mad,3,madlensdiary
fra,3,Frankly Agency
mimi,2,Mio Mio
vfl,2,veganfoodlove
tm,3,esmuellert
wv,3,wesleyvissers
kdc,3,karlessdotcom
lsrlc,3,laserluca
lmi,3,lisa_msw_ibbpro
gg,2,Gustavo Gusto
cuw,2,Coppenrath und Wiese
jbb,3,jessicaabock
sgs,1,Social Groth Studio