nummer,id,typ,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
1,ai,1,ALL IMPACT Management,0,NA,0,NRW
2,kr,1,Krueger_Rizzi Management,0,NA,0,Rheinland Pfalz
3,mg,1,MOONGENCY,0,NA,0,Hamburg
4,vs,1,fourfour Studio,0,NA,0,Berlin
5,fy,1,fyndafit,0,NA,0,Berlin
6,mn,2,More Nutrition,0,NA,700,Schleswig Holstein
7,en,2,ESN,0,NA,700,Schleswig Holstein
8,fn,2,fayn,0,NA,0,Bayern
9,ko,2,KoRo Handels GmbH,0,NA,3700,Berlin
10,fs,2,foodspring,0,NA,20,Berlin
11,hf,2,Hello Fresh,0,NA,7600,Berlin
12,gl,3,gerdalewis,1000,instagram,0,NRW
13,tl,3,tigerlariz,188,instagram,0,Rheinland Pfalz
14,pd,3,paula_doeringer,523,instagram,0,Hamburg
15,mm,3,mariomllr,357,instagram,0,Hessen
16,ga,3,growingannanas,1500,instagram,0,Berlin
17,jb,3,jessicabook,296,instagram,0,Schleswig Holstein
18,fg,3,fitgreenmind,3900,instagram,0,Baden WÃ¼rttemberg